id,kind,stratum,domain,stage,proposition,status,population,weight,evidence_summary,solve_count_link,gap_type,dependencies,interactions,adjacent_unasked,source_paths,architecture_epoch
P134,open question,epistemic,research method,experiment design,The cheapest useful experiment may be a premise falsifier rather than a miniature implementation.,current doctrine / still unevenly applied,general,high,Latest atlas and future work repeatedly prescribe cheap gates/falsifiers before architectural builds.,Increases information gain per compute and opens more premise space.,method discipline,,,,docs/solver-reasoning-capability-atlas.md; docs/solver-future-work.md,current
P135,open question,epistemic,research method,diagnosis,"For each current miss, what is the first irreversible loss event relative to an exact accepted continuation?",major missing organizing question,general,very high,"Existing exact LIVE/DEAD and first-divergence work approximates pieces, but no universal lineage map spans generation through validation.",Directly maps each miss to the first mechanism capable of changing its outcome.,counterfactual failure-locus gap,,,Instrument accepted-target lineage or exact witness-relative counterfactuals on a stratified residual sample.,docs/solver-reasoning-capability-atlas.md; docs/solver-research-question-relations.json,current
P136,open question,epistemic,research method,diagnosis,What search decisions have high epistemic value even when they are not immediately high-scoring for completion?,largely unasked,general,medium,Current machinery optimizes forward progress/retention; no first-class information-gathering action is described.,An exploratory branch or exact query could cheaply disambiguate regimes and improve later allocation.,active-information gap,,,,docs/solver-reasoning-capability-atlas.md,current
P137,implicit premise,epistemic,research method,closure,A closed tested form closes its conceptual parent question.,explicitly rejected by current doctrine,general,very high,Question graph carefully distinguishes frozen forms from broader semantic questions; H1 and global portal merge are exemplars.,Overbroad closure erases fertile premise families.,scope-of-negative gap,,,,docs/solver-research-question-relations.json; docs/solver-reasoning-capability-atlas.md,current
P140,open question,architecture,global obligation reasoning,search,A valid solution may require deliberately preserving optionality rather than maximizing immediate progress.,underasked,general,high,"Generic structural diversity proved insufficient, but atlas highlights alternate completion regimes and weak future-option reasoning.",Optionality can keep multiple viable regimes alive until a later constraint resolves.,option-value representation,,,,docs/solver-reasoning-capability-atlas.md,current
P141,open question,architecture,search architecture,search,"The solver should reason over sets of possible futures, not only individual prefixes.",largely unasked explicit form,general,high,Beam retains many prefixes but does not represent a set-level abstraction or joint coverage objective.,Set-level reasoning could preserve complementary regimes and choose informative branches.,set-state abstraction,,,,docs/solver-reasoning-capability-atlas.md,current
P142,open question,mechanism,global obligation reasoning,search,The best next action can be one that reduces uncertainty about feasibility rather than one that maximizes score.,largely unasked,general,medium,No explicit value-of-information controller in current atlas.,Could cheaply avoid spending large budgets in ambiguous dead basins.,active inference,,,,docs/solver-reasoning-capability-atlas.md,current
P143,open question,architecture,search architecture,search,A relaxed or partially invalid state space may be a better planning substrate than restricting all intermediate states to valid prefixes.,largely unasked / complete-path LNS adjacent,general,high,Current dominant object is valid forward prefix; complete-path LNS is deferred.,Relaxation can expose global structure then project/repair into valid paths.,search-object gap,,,,docs/solver-reasoning-capability-atlas.md; docs/solver-future-work.md,current
P144,open question,epistemic,research method,diagnosis,Which solved levels are only accidentally solved by the current pipeline and would become failures under small perturbation?,underasked,general,medium,Capability regressions like R01273 show fragile winners matter when testing new forms.,Fragility maps constraints on safe composition and reveals hidden dependence on arbitrary ordering.,robustness/counterfactual gap,,,,docs/solver-research-question-relations.json,current
P145,open question,epistemic,research method,diagnosis,"Which unsolved levels are near a phase transition where one local policy change creates a solve, versus structurally outside current capability?",underasked synthesis,general,high,"Near-miss, exact LIVE/DEAD, capability-memory and residual classes each approximate this from different angles.",Separates cheap harvest from architecture acquisition.,capability-distance gap,,,,docs/solver-capability-memory.md; docs/solver-research-question-relations.json,current
P146,open question,architecture,"budget, routing & control",control loop,The solver can learn when not to trust its dominant heuristic on the current level/state.,underasked,general,high,"LDS/beam/repair diversify away from greediness, but explicit heuristic-trust estimation is absent.",A trust gate could selectively buy exploration only when needed.,meta-heuristic calibration,,,,docs/solver-reasoning-capability-atlas.md,current
P147,open question,architecture,failure learning & revision,failure,A contradiction can be mapped to an earlier causal decision rather than merely the terminal dead state.,major open,general,very high,Selective commitment revision is a top atlas gap.,Enables backjumping and targeted surgery instead of broad restart.,causal attribution,,,,docs/solver-reasoning-capability-atlas.md,current
P148,open question,architecture,input & state representation,state,"Decision-relevant state may include search-process knowledge such as derived conflicts, uncertainty, or remaining portfolio budget, not just puzzle state.",underasked,general,high,Current state machinery is rich in puzzle mechanics but cross-process knowledge/persistence is weak.,Two identical puzzle prefixes may rationally merit different actions after different evidence has been learned.,epistemic-state representation,,,,docs/solver-reasoning-capability-atlas.md,current
P149,open question,architecture,search architecture,planning,The solver can separate strategic obligation ordering from tactical route realization and revise either layer independently.,largely unasked explicit form,general,high,No first-class abstract plan or revision layer.,"Could avoid redoing route detail when only strategy is wrong, or vice versa.",hierarchical planning/revision,,,,docs/solver-reasoning-capability-atlas.md,current
P150,open question,epistemic,correctness & evaluation,benchmark,Current accepted-path witnesses are representative enough for target-relative diagnostics; alternate accepted paths may imply different failure stories.,conditional / known sensitivity surface,general,medium,Future work keeps accepted-path representative sensitivity dormant until a live mechanism depends on one path-set view.,A diagnosis tied to one witness can misclassify a level that has another viable solution regime.,oracle representative sensitivity,,,,docs/solver-future-work.md,current
